country;year1960;year1961;year1962;region
Afghanistan;769308;814923,0492;858521,6976;asia
Albania;494443;511802,7798;529438,8515;europe
Algeria;3293999;3515147,548;3739963,007;africa
American Samoa;no data;13660,298;14165,79665;oceania
Andorra;no data;8723,92113;9700,34576;europe
Angola;521205;548265,0462;579695,37;africa
Antigua and Barbuda;21699;21635,05094;21664,20011;america
Argentina;15224096;15545222,59;15912120,02;america
Armenia;957974;1008597,321;1061426,399;europe
Aruba;24996;28139,75709;28532,72851;america
Australia;8375329;8587694,566;8841890,588;oceania
Austria;4560057;4590376,939;4622747,142;europe
Azerbaijan;1857673;2108328,321;2167604,472;asia
Bahamas;65457;69503,93493;73991,80232;america
Bahrain;128480;137681,9372;141956,4725;asia
Bangladesh;2761049;2757034,996;2948396,094;asia
Barbados;84884;85334,55585;85841,35274;america
Belarus;2656152;2774678,662;2897400,75;europe
Belgium;8435075;8503913,386;8550315,744;europe
Belize;49165;50625,44777;52165,15104;america
Benin;211033;243244,5443;262755,33;africa
Bermuda;44400;45500;46600;america
Bhutan;8064;8848,944;9605,217124;asia
Bolivia;1233398;1271251,598;1310367,629;america
Bosnia and Herzegovina;604204;638479,05;672131,3822;europe
Botswana;16240;17254,05332;18542,21535;africa
Brazil;32662018;35327479,45;37170219,22;america
Brunei;35501;37761,23976;41059,23595;oceania
Bulgaria;2918659;3084392,151;3250211,157;europe
Burkina Faso;221872;237912,3803;246591,2376;africa
Burundi;58810;62030,70032;64172,50022;africa
Cambodia;559631;578344,5071;598418,7179;asia
Cameroon;751711;802609,2681;853607,8474;africa
Canada;12375125;12758127,71;13140255,48;america
Cape Verde;32791;36593,57578;38152,00754;africa
Cayman Islands;no data;8277;8418;oceania
Central African Republic;302157;317833,5596;334178,6155;africa
Chad;198777;212338,0802;227510,8869;africa
Channel Islands;42565;42427,14497;42544,15952;oceania
Chile;5184595;5384611,062;5585252,349;america
China;106731200;109480072,7;112889292,7;asia
Colombia;7202877;7622252,758;8055582,658;america
Comoros;no data;26416,63422;28672,10038;africa
Congo, Dem. Rep.;3430867;3636019,975;3854491,766;africa
Congo, Rep.;319596;336275,5492;353052,1927;africa
Costa Rica;457579;477436,0182;498930,6854;america
Cote d'Ivoire;609722;719365,0686;801380,0273;africa
Croatia;1250280;1298165,923;1348169,431;europe
Cuba;4170441;4266287,851;4374011,782;america
Cyprus;203987;208335,8966;211763,5274;europe
Czech Republic;5684630;5755978,647;5826307,18;europe
Denmark;3376197;3429213,56;3487254,636;europe
Djibouti;42689;46257,94175;50349,87367;africa
Dominica;16462;17790,55652;19219,19278;america
Dominican Republic;1011473;1067164,195;1137082,485;america
Ecuador;1505063;1573521,959;1646488,571;america
Egypt;10535500;11008998,58;11466686,23;africa
El Salvador;1062350;1099624,645;1138367,674;america
Equatorial Guinea;64280;65637,23;66866,04543;africa
Eritrea;139513;147128,8307;155833,8385;africa
Estonia;699199;717069,948;735697,963;europe
Ethiopia;1443222;1538298,647;1630263,195;africa
Faeroe Islands;no data;7729,96081;8116,2571;europe
Fiji;117017;123204,5418;130015,9311;oceania
Finland;1687830;2505461,004;2561793,327;europe
France;28278397;29732031,9;30646761,42;europe
French Polynesia;33638;35616,56915;37682,185;oceania
Gabon;84509;91199,7652;98025,41088;africa
Gambia;38461;48190,11607;51022,96981;africa
Georgia;1759469;1613362,232;1656600,165;europe
Germany;51889236;52463686,08;53011640,54;europe
Ghana;1581770;1657231,804;1750438,309;africa
Greece;3572283;3679907,937;3780263,235;europe
Greenland;19013;20232,5364;21539,14;europe
Grenada;27222;27847,72857;28377,3879;america
Guam;33785;35262,24312;36845,85563;oceania
Guatemala;1287739;1354495,671;1416995,725;america
Guinea;327880;394253,7984;418342,0515;africa
Guinea-Bissau;80788;81908,24609;83029,53859;africa
Guyana;164865;167282,4429;172077,1431;america
Haiti;603626;630787,8601;659463,7541;america
Honduras;454668;482194,2156;511164,4578;america
Hong Kong, China;2619983;2706964,036;2832186,218;asia
Hungary;5581057;5649837,458;5710577,379;europe
Iceland;141326;144626,7874;148214,953;europe
India;77837971;82690546,63;85192315,08;asia
Indonesia;13586478;13970478,16;14552239,42;asia
Iran;7263698;7765082,71;8123171,196;asia
Iraq;3216208;3364850,25;3575653,234;asia
Ireland;1297971;1310504,654;1332285,536;europe
Isle of Man;26667;26770,14506;27011,21943;europe
Israel;1623567;1697010,84;1799656,464;asia
Italy;29818622;30249745,16;30707681,49;europe
Jamaica;550603;570158,5313;591844,3194;america
Japan;40555376;60944671,24;62395831,87;asia
Jordan;429596;459593,0149;492596,4461;asia
Kazakhstan;4418232;4660793,565;4905302,992;asia
Kenya;599714;636354,8394;678166,3598;africa
Kiribati;6634;7037,941805;7458,730586;oceania
North Korea;4400485;4619694,184;4838386,643;asia
South Korea;6925856;7367307,54;7816471,533;asia
Kuwait;208207;224611,139;258286,752;asia
Kyrgyz Republic;742995;778623,885;813166,566;asia
Lao;167800;174838,2045;180598,5572;asia
Latvia;1126241;1155128,625;1187939,025;europe
Lebanon;798829;866878,9645;928434,0293;asia
Lesotho;28950;34662,22588;40454,23085;africa
Liberia;196890;220854,4269;234403,8386;africa
Libya;368278;400154,3096;433330,028;africa
Liechtenstein;3378;3432,538728;3481,185172;europe
Lithuania;1097529;1142351,859;1187030,376;europe
Luxembourg;219170;221906,8316;226182,636;europe
Macao, China;164495;167189,7019;173135,1308;asia
Macedonia, FYR;473280;495952,7862;520053,0269;europe
Madagascar;540898;574407,3663;607035,6447;africa
Malawi;155272;162111,6528;169821,5794;africa
Malaysia;2165348;2297703,199;2432159,457;asia
Maldives;11032;10390,6698;10735,63005;africa
Mali;561636;604452,2226;628708,1296;africa
Malta;296429;292946,8205;291533,9686;europe
Marshall Islands;5340;5568,4699;5970,936708;oceania
