zone,hhsex,AREAH,PRODQ,OWNTYPE1,EXT1,IRRG,FERT,D21B,woreda_id,id
13,Male,.21158,.46548,Rent,No,No,No,0,193,1
8,Female,.038034,0,Owner,No,No,No,0,116,2
1,Male,.003158,.267967,Owner,No,No,No,0,1,3
2,Male,.246457,1.739986,Owner,No,No,No,0,18,4
3,Male,.172439,3.12114,Owner,No,No,No,0,34,5
14,Male,.037305,0,Owner,No,No,Yes,0,205,6
3,Male,.14962,2.84278,Owner,No,No,No,0,34,7
14,Male,.037904,.7978402999999999,Owner,No,No,No,0,205,8
6,Male,.198239,5.2335,Rent,No,No,Yes,12.25,89,9
6,Female,.060423,.6767299999999999,Owner,No,No,No,0,89,10
18,Male,.00127,.094782,Owner,No,No,No,0,226,11
18,Male,.011987,1.021254,Owner,No,No,No,0,226,12
1,Male,.488832,8.99451,Owner,No,No,No,0,1,13
19,Male,.131964,0,Owner,No,No,No,0,236,14
6,Male,.052134,.5839000000000001,Rent,No,No,Yes,0,89,15
10,Male,.014178,0,Owner,No,No,No,0,152,16
13,Male,.171648,3.19265,Owner,No,No,No,0,193,17
14,Male,.031483,.42188,Owner,No,No,No,0,205,18
18,Male,.01382,0,Owner,No,No,No,0,226,19
1,Male,.188911,1.18825,Owner,No,No,No,0,1,20
3,Male,.066144,1.19721,Owner,No,No,No,0,34,21
5,Male,.818225,2.86379,Owner,No,No,No,0,70,22
3,Male,.040526,2.026314,Owner,No,No,No,0,34,23
3,Male,.122605,2.3295,Owner,No,No,No,0,34,24
3,Male,.044671,.950599,Owner,No,No,No,0,34,25
1,Male,.245391,0,Owner,No,No,No,0,1,26
6,Male,.001592,.188645,Rent,No,No,No,0,89,27
17,Male,.239205,2.17677,Owner,No,No,No,0,215,28
18,Male,.080454,1.71367,Owner,No,No,Yes,0,226,29
14,Male,.01319,0,Owner,No,No,No,0,205,30
18,Male,.006117,.0797,Owner,No,No,No,0,226,31
14,Male,.275997,3.69836,Owner,No,No,Yes,0,205,32
10,Male,.002667,0,Owner,No,No,Yes,0,152,33
14,Male,.573413,7.68373,Owner,No,No,No,0,205,34
18,Male,.042954,.89344,Owner,No,No,No,0,226,35
6,Female,.024029,.31238,Owner,No,No,No,0,89,36
2,Male,.013879,0,Owner,No,No,No,0,18,37
3,Male,.016523,0,Owner,No,No,No,0,34,38
19,Male,.425136,6.63211,Owner,No,No,Yes,0,236,39
3,Male,.083808,1.51693,Owner,No,No,No,0,34,40
13,Male,.008367,0,Rent,No,No,Yes,6.8,193,41
13,Male,.245386,1.86493,Rent,No,No,Yes,29.7,193,42
3,Male,.001974,0,Owner,No,No,No,0,34,43
17,Male,.016343,0,Owner,No,No,Yes,0,215,44
3,Male,.041544,.6148399999999999,Owner,No,No,No,0,34,45
18,Female,.1217,2.56787,Owner,No,No,No,0,226,46
18,Male,.065152,1.10758,Owner,No,No,No,0,226,47
3,Male,.013479,.968302,Owner,No,No,No,0,34,48
3,Male,.004577,.416034,Owner,No,No,Yes,0,34,49
8,Male,.09027,1.87762,Owner,No,No,No,0,116,50
2,Female,.004359,.366069,Owner,No,No,Yes,0,18,51
1,Male,.030499,.397401,Owner,No,No,No,0,1,52
3,Male,.120828,1.78825,Owner,No,No,No,0,34,53
5,Male,.479542,10.07037,Owner,No,No,No,0,70,54
2,Male,.108092,0,Owner,No,No,No,0,18,55
3,Male,.001831,.144653,Owner,No,No,No,0,34,56
2,Male,.215202,1.7001,Rent,No,No,No,0,18,57
18,Male,.00108,.206514,Owner,No,No,No,0,226,58
3,Male,.104365,.672109,Owner,No,No,No,0,34,59
1,Male,.009172,0,Owner,No,No,Yes,0,1,60
1,Male,.010179,.8672249999999999,Owner,No,No,No,0,1,61
18,Male,1.319022,43.92343,Owner,No,No,No,0,226,62
18,Male,.002837,0,Owner,No,No,No,0,226,63
19,Male,.022601,0,Owner,No,No,No,0,236,64
17,Male,.25408,0,Owner,No,No,No,0,215,65
5,Male,.051524,.47917,Owner,No,No,No,0,70,66
3,Male,.033529,0,Owner,No,No,No,0,34,67
3,Male,.058669,.6395,Owner,No,No,No,0,34,68
1,Male,.084474,0,Owner,No,No,No,0,1,69
8,Male,.076012,0,Owner,No,No,No,0,116,70
3,Male,.195453,2.18907,Rent,No,No,No,0,34,71
14,Male,.531813,7.12629,Owner,No,No,No,0,205,72
9,Male,.014364,0,Owner,No,No,Yes,0,140,73
2,Male,.033116,.5430900000000001,Owner,No,No,Yes,0,18,74
7,Male,.001132,0,Owner,No,No,No,0,105,75
6,Male,.000635,.012201,Owner,No,No,Yes,0,89,76
10,Male,.00518,0,Owner,No,No,No,0,152,77
13,Male,.000363,0,Owner,No,No,No,0,193,78
3,Male,.000282,.002957,Owner,No,No,Yes,0,34,79
13,Male,.015356,.1168741,Owner,No,No,Yes,0,193,80
19,Male,.585803,10.07581,Owner,No,No,Yes,19.8,236,81
2,Male,.075114,.530301,Owner,No,No,No,0,18,82
2,Male,.521691,4.121350000000001,Owner,No,No,No,0,18,83
4,Male,.013693,0,Owner,No,No,No,0,54,84
18,Male,.019528,.41205,Owner,No,No,No,0,226,85
18,Male,.02781,0,Owner,No,No,No,0,226,86
18,Male,.130441,3.24799,Owner,No,No,No,0,226,87
14,Male,.87619,8.06095,Rent,No,No,No,0,205,88
5,Male,.018277,0,Owner,Yes,No,Yes,14,70,89
3,Male,.034761,.22386,Owner,No,No,No,0,34,90
4,Male,.046032,0,Rent,No,No,No,0,54,91
17,Male,.075821,1.60741,Rent,Yes,No,Yes,2,215,92
3,Male,.016633,.07485,Owner,No,No,Yes,0,34,93
4,Male,.005507,.054572,Owner,No,No,No,0,54,94
13,Male,.184195,1.03149,Rent,No,No,Yes,4.42,193,95
8,Male,.175631,1.66849,Owner,No,No,Yes,2,116,96
3,Male,.043287,.47183,Owner,No,No,Yes,0,34,97
3,Female,.042168,.7632399999999999,Owner,No,No,No,0,34,98
2,Male,.070849,.44635,Owner,No,No,Yes,0,18,99
3,Male,.227909,4.87725,Owner,No,No,No,0,34,100
8,Male,.432515,28.256202,Owner,No,No,No,0,116,101
18,Female,.081629,1.11015,Owner,No,No,No,0,226,102
18,Male,.089415,1.88665,Owner,No,No,No,0,226,103
3,Male,.017967,.115704,Owner,No,No,No,0,34,104
19,Male,.158615,1.55442,Owner,No,No,Yes,9.9,236,105
19,Male,.002878,.383513,Owner,No,No,Yes,0,236,106
4,Male,.270252,3.78353,Owner,No,No,No,0,54,107
1,Male,1.333438,28.93561,Owner,No,No,Yes,0,1,108
2,Female,.42347,3.34541,Owner,No,No,No,0,18,109
3,Male,.12002,2.56842,Owner,No,No,Yes,0,34,110
17,Female,.1033,0,Owner,No,No,No,0,215,111
6,Male,.161459,0,Owner,No,No,No,0,89,112
2,Male,.018217,.21496,Owner,No,No,No,0,18,113
3,Female,.01786,0,Rent,No,No,No,0,34,114
18,Male,.238183,1.4291,Owner,No,No,No,0,226,115
1,Male,.030039,0,Owner,No,No,Yes,0,1,116
17,Female,.353702,10.46958,Owner,Yes,No,Yes,75,215,117
3,Male,.024379,2.257487,Owner,No,No,No,0,34,118
18,Male,.001291,.109538,Owner,No,No,No,0,226,119
9,Male,.2579,1.05739,Owner,No,No,No,0,140,120
2,Male,.636773,0,Owner,No,No,No,0,18,121
18,Male,.089198,1.15957,Owner,No,No,No,0,226,122
17,Male,.035377,.31839,Owner,No,No,Yes,2.5,215,123
18,Male,.011465,0,Owner,No,No,No,0,226,124
6,Male,.003654,0,Owner,No,Yes,Yes,0,89,125
4,Male,.928727,27.76894,Owner,No,No,No,0,54,126
13,Female,.006765,.0514871,Owner,No,No,No,0,193,127
13,Male,.001584,0,Rent,No,No,Yes,0,193,128
13,Male,.000116,.00767,Rent,No,No,No,0,193,129
7,Male,.009583,0,Owner,No,No,No,0,105,130
19,Male,.035947,0,Owner,No,No,No,0,236,131
17,Male,.192267,3.51849,Owner,No,No,No,0,215,132
4,Male,.001694,.016791,Owner,No,No,Yes,0,54,133
18,Male,.014267,1.064722,Owner,No,No,No,0,226,134
3,Male,.01429,.11575,Owner,No,No,No,0,34,135
5,Male,.347526,1.21634,Owner,No,No,Yes,50,70,136
8,Female,.364298,0,Owner,No,No,Yes,10,116,137
3,Male,.068995,.66235,Owner,No,No,No,0,34,138
13,Male,.000782,.075032,Rent,No,No,No,0,193,139
4,Male,2.268566,45.59818,Rent,No,No,No,0,54,140
1,Male,.16043,2.14976,Owner,No,No,No,0,1,141
17,Male,.068064,0,Owner,No,No,No,0,215,142
2,Male,.205039,2.48097,Owner,No,No,No,0,18,143
2,Female,.005895,0,Owner,No,No,Yes,0,18,144
19,Male,.108242,0,Owner,No,No,Yes,30,236,145
3,Male,.34865,7.4611,Owner,No,No,No,0,34,146
17,Male,.054469,.4956699999999999,Owner,No,No,No,0,215,147
2,Male,.005423,.02115,Owner,No,No,No,0,18,148
13,Male,.166897,.968,Rent,No,No,No,0,193,149
13,Male,.265523,2.81454,Rent,No,No,Yes,10.5,193,150
3,Male,.00055,0,Owner,No,No,No,0,34,151
13,Male,.094273,.54678,Owner,No,No,Yes,3.3,193,152
18,Male,.070677,6.02168,Owner,No,No,No,0,226,153
14,Male,.128364,2.7019435,Owner,No,No,Yes,0,205,154
19,Male,.252544,1.03543,Owner,No,No,Yes,4.95,236,155
2,Male,.157716,1.86104,Owner,No,No,Yes,50,18,156
4,Male,.099008,1.43561,Owner,No,No,No,0,54,157
6,Male,.097119,2.56393,Owner,No,No,Yes,25,89,158
3,Male,.003092,0,Owner,No,No,No,0,34,159
19,Male,.075113,.50325,Owner,No,No,No,0,236,160
