admin3name,admin3_pcod,admin2_name,admin2_pcod,admin1_name,admin1_pcod,admin0_name,admin0_pcod,valid_on,version,lang,lat,long
Tahtay Adiyabo,ET010101,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-14,v04,en,14.39639191,37.71880188
Zana,ET010103,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-14,v04,en,13.86943702,38.43809945
Tahtay Koraro,ET010104,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-14,v04,en,14.17025166,38.33003423
Asgede,ET010105,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-14,v04,en,14.0428057,37.90848201
Sheraro town,ET010107,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-14,v04,en,14.40794928,37.78427349
Shire Endaslasie town,ET010108,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-14,v04,en,14.10315546,38.28613459
Laelay Koraro,ET010109,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-14,v04,en,14.16006899,38.45098216
Seyemti Adyabo,ET010110,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-14,v04,en,14.49320398,38.2239769
Adi Daero,ET010111,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-14,v04,en,14.27476621,38.15391539
Maekel Adiyabo,ET010112,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-14,v04,en,14.53140886,38.0259848
Tsimbla,ET010113,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-14,v04,en,13.87218665,38.14452782
Endabaguna town,ET010114,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-14,v04,en,13.9462828,38.18418627
Chila,ET010201,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-14,v04,en,14.30964153,38.5741679
Aheferom,ET010202,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-14,v04,en,14.2856243,39.14847992
Endaba Tsahma,ET010203,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-14,v04,en,13.99060188,39.11707318
Adwa,ET010204,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-14,v04,en,14.17531958,38.93224959
Laelay Maychew,ET010205,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-14,v04,en,14.11191718,38.73395163
Tahtay Maychew,ET010206,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-14,v04,en,14.07379588,38.56971987
Adet,ET010207,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-14,v04,en,13.83193115,38.61981279
